index,video_id,text,start,duration,title,description,url,duration,view_count,thumbnails
0,PXJItJWwwI4,Bạn có nhớ tuổi thơ của mình không?,0.12,4.159,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.159,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
1,PXJItJWwwI4,Không phải kiểu nhớ mơ hồ đại loại hồi,2.32,4.479,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.479,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
2,PXJItJWwwI4,đó vui lắm mà là nhớ rõ từng chi tiết,4.279,5.28,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,5.28,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
3,PXJItJWwwI4,nhỏ. Nhớ cái mùi cỏ khô trong nắng hè.,6.799,4.521,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.521,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
4,PXJItJWwwI4,Nhớ cảm giác bàn chân chạy trên đất,9.559,3.921,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,3.921,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
5,PXJItJWwwI4,nóng. Nhớ cả những lần đánh nhau với lũ,11.32,4.68,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.68,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
6,PXJItJWwwI4,bạn rồi chiều vè vẫn ngồi chung ăn kem.,13.48,4.559,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.559,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
7,PXJItJWwwI4,"Và quan trọng nhất, bạn có nhớ lần đầu",16.0,4.4,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.4,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
8,PXJItJWwwI4,tiên mình làm một việc mà giờ nghĩ lại,18.039,4.841,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.841,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
9,PXJItJWwwI4,vẫn còn thấy day dứt không? Cái cảm giác,20.4,4.48,"Đi Qua Hoa Cúc: Khi Bạn Phải Làm ""Shipper Tình"" Cho Crush và Tình Địch | Tóm Tắt | Nguyễn Nhật Ánh","💔 Đừng xem nếu bạn sợ tan vỡ! Chúng ta sẽ cùng đi qua từng cung bậc cảm xúc của Trường, từ rung động đầu đời trong veo đến cú sốc vỡ nát con...",https://www.youtube.com/watch?v=xN1LqsaxcQI,4.48,2,"[{'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLCxU0nsps4xc6cc7Nk442YkqVU32Q', 'height': 94, 'width': 168}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE1CMQBEG5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGEAgYShlMA8=&rs=AOn4CLD5Lh_AgH-tOv30T_I1LhyIAKlgXA', 'height': 110, 'width': 196}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CPYBEIoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLCWOUy5hZdko8HTjGcYwY5Fc1VQ-Q', 'height': 138, 'width': 246}, {'url': 'https://i.ytimg.com/vi/xN1LqsaxcQI/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhAIGEoZTAP&rs=AOn4CLBP86k_Kv9A3dPIU9h-E8XNNhnuPg', 'height': 188, 'width': 336}]"
